solucion,job,operacion,maquina_asignada,costo,tiempo
12,9,1,6,16.00,105.00
12,9,2,3,19.00,24.00
12,9,3,5,19.00,65.00
12,9,4,3,17.00,53.00
12,9,5,4,19.00,10.00
12,9,6,6,7.00,53.00
12,10,1,5,21.00,97.00
12,10,2,4,10.00,20.00
12,10,3,5,10.00,28.00
12,10,4,6,18.00,41.00
12,10,5,3,9.00,124.00
12,10,6,5,16.00,25.00
13,1,1,1,5.00,75.00
13,1,2,5,22.00,57.00
13,1,3,6,13.00,23.00
13,1,4,1,36.00,23.00
13,1,5,4,6.00,59.00
13,1,6,1,5.00,90.00
13,2,1,3,13.00,16.00
13,2,2,2,22.00,36.00
13,2,3,6,14.00,64.00
13,2,4,4,7.00,22.00
13,2,5,6,7.00,40.00
13,2,6,1,23.00,19.00
13,3,1,4,20.00,28.00
13,3,2,5,9.00,93.00
13,3,3,1,12.00,47.00
13,3,4,5,5.00,60.00
13,3,5,3,23.00,21.00
13,3,6,3,15.00,58.00
13,4,1,6,16.00,81.00
13,4,2,4,23.00,13.00
13,4,3,3,21.00,18.00
13,4,4,2,27.00,17.00
13,4,5,6,29.00,47.00
13,4,6,2,27.00,58.00
13,5,1,2,22.00,24.00
13,5,2,4,18.00,32.00
13,5,3,2,18.00,18.00
13,5,4,6,14.00,77.00
13,5,5,2,31.00,71.00
13,5,6,5,22.00,83.00
13,6,1,2,13.00,82.00
13,6,2,5,5.00,12.00
13,6,3,3,28.00,22.00
13,6,4,2,18.00,52.00
13,6,5,6,17.00,63.00
13,6,6,4,32.00,87.00
13,7,1,3,12.00,18.00
13,7,2,1,11.00,25.00
13,7,3,6,16.00,18.00
13,7,4,3,10.00,38.00
13,7,5,2,5.00,47.00
13,7,6,4,15.00,50.00
13,8,1,2,6.00,127.00
13,8,2,4,14.00,97.00
13,8,3,4,7.00,17.00
13,8,4,4,37.00,35.00
13,8,5,2,8.00,65.00
13,8,6,6,23.00,58.00
13,9,1,6,16.00,105.00
13,9,2,3,19.00,24.00
13,9,3,5,19.00,65.00
13,9,4,3,17.00,53.00
13,9,5,4,19.00,10.00
13,9,6,6,7.00,53.00
13,10,1,5,21.00,97.00
13,10,2,4,10.00,20.00
13,10,3,5,10.00,28.00
13,10,4,6,18.00,41.00
13,10,5,3,9.00,124.00
13,10,6,5,16.00,25.00
14,1,1,1,5.00,75.00
14,1,2,5,22.00,57.00
14,1,3,6,13.00,23.00
14,1,4,6,11.00,181.00
14,1,5,4,6.00,59.00
14,1,6,1,5.00,90.00
14,2,1,3,13.00,16.00
14,2,2,2,22.00,36.00
14,2,3,6,14.00,64.00
14,2,4,4,7.00,22.00
14,2,5,6,7.00,40.00
14,2,6,1,23.00,19.00
14,3,1,4,20.00,28.00
14,3,2,5,9.00,93.00
14,3,3,1,12.00,47.00
14,3,4,5,5.00,60.00
14,3,5,3,23.00,21.00
14,3,6,3,15.00,58.00
14,4,1,6,16.00,81.00
14,4,2,6,15.00,62.00
14,4,3,3,21.00,18.00
14,4,4,2,27.00,17.00
14,4,5,2,9.00,162.00
14,4,6,5,13.00,135.00
14,5,1,2,22.00,24.00
14,5,2,4,18.00,32.00
14,5,3,2,18.00,18.00
14,5,4,6,14.00,77.00
14,5,5,2,31.00,71.00
14,5,6,4,5.00,135.00
14,6,1,2,13.00,82.00
14,6,2,5,5.00,12.00
14,6,3,3,28.00,22.00
14,6,4,2,18.00,52.00
14,6,5,6,17.00,63.00
14,6,6,4,32.00,87.00
14,7,1,3,12.00,18.00
14,7,2,1,11.00,25.00
14,7,3,1,11.00,40.00
14,7,4,3,10.00,38.00
14,7,5,2,5.00,47.00
14,7,6,4,15.00,50.00
14,8,1,2,6.00,127.00
14,8,2,4,14.00,97.00
14,8,3,4,7.00,17.00
14,8,4,1,23.00,104.00
14,8,5,2,8.00,65.00
14,8,6,6,23.00,58.00
14,9,1,1,10.00,125.00
14,9,2,3,19.00,24.00
14,9,3,5,19.00,65.00
14,9,4,3,17.00,53.00
14,9,5,4,19.00,10.00
14,9,6,6,7.00,53.00
14,10,1,2,14.00,130.00
14,10,2,5,8.00,34.00
14,10,3,5,10.00,28.00
14,10,4,6,18.00,41.00
14,10,5,3,9.00,124.00
14,10,6,5,16.00,25.00
15,1,1,1,5.00,75.00
15,1,2,3,14.00,152.00
15,1,3,6,13.00,23.00
15,1,4,6,11.00,181.00
15,1,5,4,6.00,59.00
15,1,6,1,5.00,90.00
15,2,1,3,13.00,16.00
15,2,2,2,22.00,36.00
15,2,3,6,14.00,64.00
15,2,4,4,7.00,22.00
15,2,5,6,7.00,40.00
15,2,6,2,6.00,175.00
15,3,1,4,20.00,28.00
15,3,2,5,9.00,93.00
15,3,3,6,5.00,152.00
15,3,4,5,5.00,60.00
15,3,5,3,23.00,21.00
15,3,6,3,15.00,58.00
15,4,1,6,16.00,81.00
15,4,2,6,15.00,62.00
15,4,3,1,15.00,82.00
15,4,4,6,6.00,198.00
15,4,5,2,9.00,162.00
15,4,6,5,13.00,135.00
15,5,1,3,13.00,120.00
