solucion,job,operacion,maquina_asignada,costo,tiempo
60,3,3,2,40.00,78.00
60,4,1,1,16.00,30.00
60,4,2,1,50.00,45.00
60,4,3,1,15.00,16.00
61,1,1,1,29.00,119.00
61,1,2,2,30.00,70.00
61,1,3,1,9.00,97.00
61,2,1,1,18.00,95.00
61,2,2,3,20.00,94.00
61,2,3,3,12.00,53.00
61,3,1,1,5.00,155.00
61,3,2,3,21.00,28.00
61,3,3,1,28.00,90.00
61,4,1,2,9.00,39.00
61,4,2,1,50.00,45.00
61,4,3,1,15.00,16.00
62,1,1,1,29.00,119.00
62,1,2,2,30.00,70.00
62,1,3,1,9.00,97.00
62,2,1,1,18.00,95.00
62,2,2,3,20.00,94.00
62,2,3,3,12.00,53.00
62,3,1,1,5.00,155.00
62,3,2,3,21.00,28.00
62,3,3,1,28.00,90.00
62,4,1,2,9.00,39.00
62,4,2,2,16.00,161.00
62,4,3,1,15.00,16.00
63,1,1,1,29.00,119.00
63,1,2,2,30.00,70.00
63,1,3,3,32.00,44.00
63,2,1,1,18.00,95.00
63,2,2,3,20.00,94.00
63,2,3,1,33.00,13.00
63,3,1,1,5.00,155.00
63,3,2,1,43.00,14.00
63,3,3,2,40.00,78.00
63,4,1,1,16.00,30.00
63,4,2,1,50.00,45.00
63,4,3,1,15.00,16.00
64,1,1,2,20.00,173.00
64,1,2,2,30.00,70.00
64,1,3,1,9.00,97.00
64,2,1,1,18.00,95.00
64,2,2,3,20.00,94.00
64,2,3,3,12.00,53.00
64,3,1,1,5.00,155.00
64,3,2,3,21.00,28.00
64,3,3,1,28.00,90.00
64,4,1,2,9.00,39.00
64,4,2,3,38.00,94.00
64,4,3,1,15.00,16.00
65,1,1,1,29.00,119.00
65,1,2,2,30.00,70.00
65,1,3,3,32.00,44.00
65,2,1,1,18.00,95.00
65,2,2,3,20.00,94.00
65,2,3,3,12.00,53.00
65,3,1,1,5.00,155.00
65,3,2,3,21.00,28.00
65,3,3,1,28.00,90.00
65,4,1,2,9.00,39.00
65,4,2,1,50.00,45.00
65,4,3,1,15.00,16.00
